SrNo,Date,Sale Party,Quantity Sold,Sale Rate,Product,Grade,Company,Specific Grade,Purchase Party,Quantity Purchased,Purchase Rate
19999,2024-05-23,Navkar Bhiwandi Electricals Pvt Ltd,18000,116,SRX100,PPCP,RIL,PP,Surat Navneet Petrochem,18000,115
20000,2024-05-23,Omkar Jalandhar Recyclers Pvt Ltd,18000,116,DF50,HD HM,IOCL,HM,Unity Petrochem,18000,114
20001,2024-05-23,Jodhpur Reliable Pipes & Fittings Pvt Ltd,11000,113,5230,LD Heavy Duty,Borough,LD,Dynamic Polytrade,11000,112
20002,2024-05-23,Ganga Pharma Packaging Pvt Ltd (Surat),21000,126,168MO,PP Moulding (10 Mfi),Borough,PP,"Desert Dunes Petrochem DMCC (Dubai, UAE)",21000,124
20003,2024-05-23,Daman Umiya Agro Plast Pvt Ltd,12000,121,F1,HD HM,Qamar,HM,"GoldRiver Materials Trading Co. (Tianjin, China)",12000,120
20004,2024-05-24,Crystal Thane Packagers Pvt Ltd,17000,110,1540,GPPS,Tabriz,GPPS,"Sandshell Trading DMCC (Dubai, UAE)",17000,108
20005,2024-05-24,Ganga Pharma Packaging Pvt Ltd (Surat),13000,121,2427F,LD Milk Pouch,Basell,LD,Daman Millennium Polychem,13000,120
20006,2024-05-24,Matrix Polymers Cables (Mumbai),14000,119,18020,LL 2 Mfi Non-Slip,RIL,LL,"GreatWall Plastics Co., Ltd. (Shanghai, China)",14000,117
20007,2024-05-24,Beacon WaterTech Pvt Ltd (Vapi),17000,121,4025ZN,LD GP,Sabic,LD,"Desert Dunes Petrochem DMCC (Dubai, UAE)",17000,120
20008,2024-05-24,Orbit Polychemicals (Cuttack),8000,119,H110MA,PP Moulding (11 Mfi),RIL,PP,Pristine Vadodara Impex,8000,118
20009,2024-05-24,Radiant Polymers Automotive Components (Agra),13000,122,2047A,LD GP,Sasol,LD,"Huanxin Petrochem Corp. (Xiamen, China)",13000,119
20010,2024-05-24,Galaxy Polymers Medical Devices (Gurugram),12000,113,7042,LL 2 Mfi Non-Slip,Luban,LL,Dynamic Jaipur Poly Solutions,12000,110
20011,2024-05-24,Kolkata Core Toys Pvt Ltd,7000,123,F1,HD HM,Qamar,HM,Vadodara Infinity Commodities,7000,122
20012,2024-05-24,Prime Renewables Pvt Ltd (Delhi),12000,117,H120IG,PP Moulding (12 Mfi),Nayara,PP,"DragonGate Materials Trading Co. (Shanghai, China)",12000,115
20013,2024-05-24,Kochi Stellar Textiles Pvt Ltd,6000,122,52518,HD Injection Moulding,Iran,HD,"Lianhua Plastics Co., Ltd. (Shanghai, China)",6000,120
20014,2024-05-25,Devika Panipat Stationery Pvt Ltd,14000,113,218NJ,LL 2 Mfi Non-Slip,Sabic,LL,"Falaj Trading DMCC (Dubai, UAE)",14000,112
20015,2024-05-25,Bluewave Adhesives Pvt Ltd (Silvassa),11000,117,HR003,PP Raffia,MRPL,PP,Bharat Chemplast,11000,115
20016,2024-05-25,Silvassa Momentum Textiles Pvt Ltd,11000,122,M307,PP Moulding (7 Mfi),Haldia,PP,"GoldRiver Materials Trading Co. (Tianjin, China)",11000,119
20017,2024-05-25,Heritage Chennai Adhesives Pvt Ltd,9000,114,Ravago LL 1 Mfi slip,LL 1 Mfi Slip,Ravago,LL,Galaxy Surat Polychemicals,9000,113
20018,2024-05-25,Galaxy Secunderabad Moulders Pvt Ltd,14000,124,2420E02,LD 2 Mfi Non-Slip,BPC,LL,Cityline Trading Co.,14000,121
20019,2024-05-25,Ganga Polymers Pipes & Fittings (Surat),17000,117,F52H04,HD HM,Opal,HM,"Jumeirah Crest Trading DMCC (Dubai, UAE)",17000,115
20020,2024-05-25,Kandla Umiya Renewables Pvt Ltd,15000,118,265MO,PPCP (7 Mfi),Borough,PP,Stellar Cuttack Commodities,15000,116
20021,2024-05-25,Mangalam Navi Mumbai Electricals Pvt Ltd,9000,119,B55H02,HD Blow Moulding,Opal,HD,Surat Navneet Petrochem,9000,116
20022,2024-05-25,Stride Polymers Textiles (Gurugram),13000,124,HM120A,PP Moulding (12 Mfi),HPCL,PP,Shree Polymers (Vapi),13000,122
20023,2024-05-25,Mangalam Polymers 3D Printing (Durgapur),12000,118,EX5,HD HM,Iran,HM,"Huanxin Petrochem Corp. (Xiamen, China)",12000,115
20024,2024-05-25,Heritage Polymers WaterTech (Durgapur),17000,123,Q1018N,LL 1 Mfi Non-Slip,Lotrene,LL,"Jinlong Petrochem Corp. (Ningbo, China)",17000,121
20025,2024-05-25,Heritage Vapi Furniture Pvt Ltd,8000,118,EVA 2518,EVA 18%,Sipchem,EVA,Bhubaneswar Beacon Polychemicals,8000,117
20026,2024-05-25,Navkar Gurugram Medical Devices Pvt Ltd,15000,121,F0120L,LL 1 Mfi Slip,HMEL,LL,"SilverPanda Materials Trading Co. (Qingdao, China)",15000,120
20027,2024-05-25,Indore Crescent Adhesives Pvt Ltd,9000,123,I56a200,HD Injection Moulding,Gail,HD,Kanha Exim,9000,122
20028,2024-05-26,Pristine Vadodara Impex,15000,125,F0050D,HD HM,HMEL,HM,Anand Exim,15000,123
20029,2024-05-26,Infinity Polymers 3D Printing (Mangaluru),13000,123,K222D,Nylon,Akulon,Nylon,Urban Polymart,13000,120
20030,2024-05-26,Mahadev Polymers Agro Plast (Rajkot),11000,117,012T,PP Moulding (12 Mfi),MRPL,PP,Hyderabad Bluewave Poly Solutions,11000,114
20031,2024-05-26,Durgapur Tirupati Pharma Packaging Pvt Ltd,16000,125,528K,PP Thermoforming,Sabic,PP,Reliable Polytrade (Tiruppur),16000,122
20032,2024-05-26,Narmada Buildtech Pvt Ltd (Noida),13000,118,50MA180,HD Injection Moulding,RIL,HD,"Marina Gate Polymers LLC (Dubai, UAE)",13000,115
20033,2024-05-26,Mangaluru Orbit Footwear Pvt Ltd,19000,121,SC201LV,GPPS,Supreme,GPPS,"SilverPanda Materials Trading Co. (Qingdao, China)",19000,118
20034,2024-05-26,Anand Commodities (Mysuru),12000,115,HTA001,HD Film,Exxon,HD,Stellar Agra Polymers,12000,113
20035,2024-05-26,Nexus Ghaziabad Pipes & Fittings Pvt Ltd,13000,118,TR131,HD HM,Marlex,HM,Ankleshwar Godavari Plastics,13000,116
