SrNo,Date,Sale Party,Quantity Sold,Sale Rate,Product,Grade,Company,Specific Grade,Purchase Party,Quantity Purchased,Purchase Rate
1,01--01--2020,Ghaziabad Vindhya Consumer Products Pvt Ltd,7000,87,1400MN,PP Moulding (40 Mfi),IOCL,PP,Lucknow Beacon Trading Co.,7000,86
2,01--01--2020,Gurugram Tapti Consumer Products Pvt Ltd,12000,85,F2001S,LL 1 Mfi Slip,Opal,LL,"Pearl Coast Polymers LLC (Dubai, UAE)",12000,83
3,01--01--2020,Hiral Polychem (Durgapur),12000,83,222NP,PP Moulding (12 Mfi),Borough,PP,"Marina Gate Polymers LLC (Dubai, UAE)",12000,80
4,01--01--2020,Faridabad Bluewave Chemplast,6000,88,Y50,PP Raffia,Gail,PP,"Huaxin Polychem Co., Ltd. (Tianjin, China)",6000,87
5,01--01--2020,Millennium Polymers Sports Goods (Dahej),11000,86,HNR100,PP Moulding,Sasol,PP,Kandla Crystal Plastics,11000,85
6,01--01--2020,Indore Crescent Adhesives Pvt Ltd,6000,88,17450,HD Injection Moulding (18 mfi),Dow,HD,Vector Coimbatore Polymers,6000,87
7,01--01--2020,Rajhans Mysuru Furniture Pvt Ltd,14000,85,T3804,LL Roto Moulding,Opal,LL,Rajhans Polychemicals,14000,82
8,01--01--2020,Neelkanth Footwear Pvt Ltd (Panipat),11000,83,2018N,LL 2 Mfi Non-Slip,Lotrene,LL,Ludhiana Shree Polychem,11000,81
9,01--01--2020,Nagpur Vindhya Packaging Pvt Ltd,8000,92,NH120IG,PP Moulding NP (20 Mfi),Nayara,PP,"Huaxin Polychem Co., Ltd. (Tianjin, China)",8000,91
10,01--01--2020,Everest Poly Hub (Navi Mumbai),13000,93,1925,LL 2 Mfi Slip,Tasnee,LL,Reliable Plastics,13000,90
11,02--01--2020,Neelkanth WaterTech Pvt Ltd (Jodhpur),14000,88,631CF,PP TQ,Borough,PP,"Sandshell Trading DMCC (Dubai, UAE)",14000,85
12,02--01--2020,Vapi Nexus Housewares Pvt Ltd,8000,90,B55,HD MBM,Gail,HD,"Pearl Coast Exim DMCC (Dubai, UAE)",8000,87
13,02--01--2020,Prime Renewables Pvt Ltd (Meerut),11000,88,EC7000,LD Lamination,Dow,LD,Noida Mahadev Polymart,11000,87
14,02--01--2020,Sahyadri Indore Coatings Pvt Ltd,9000,85,4025ZN,LD GP,Sabic,LD,Kanpur Kaveri Petrochem,9000,83
15,02--01--2020,Nagpur Heritage Moulders Pvt Ltd,12000,88,LD 5026,LD Milk Pouch,Lotrene,LD,Devika Polytrade (Ahmedabad),12000,86
16,02--01--2020,Nagpur Vindhya Packaging Pvt Ltd,8000,88,NH120IG,PP Moulding NP (20 Mfi),Nayara,PP,Tapti Polytrade,8000,85
17,02--01--2020,Mangaluru Orbit Footwear Pvt Ltd,8000,82,265MO,PPCP (7 Mfi),Borough,PP,"GreatWall Plastics Co., Ltd. (Shanghai, China)",8000,79
18,02--01--2020,Jaipur Shubham Housewares Pvt Ltd,9000,83,2103,LD Heavy Duty,Sasol,LD,Shakti Chemplast (Navi Mumbai),9000,81
19,02--01--2020,Neelkanth Medical Devices Pvt Ltd (Nashik),15000,84,0725n,LD Heavy Duty,Tasnee,LD,Bhubaneswar Beacon Polychemicals,15000,83
20,02--01--2020,Heritage Vapi Furniture Pvt Ltd,6000,80,168MO,PP Moulding (10 Mfi),Borough,PP,"DragonGate Materials Trading Co. (Shanghai, China)",6000,77
21,02--01--2020,Core Polymers Textiles (Noida),6000,94,F46003,HD Film,RIL,HD,Navkar Exim,6000,91
22,03--01--2020,Ghaziabad Sunbeam Automotive Components Pvt Ltd,7000,86,LD 5026,LD Milk Pouch,Lotrene,LD,Pristine Vadodara Impex,7000,83
23,03--01--2020,Kaveri Polymers Automotive Components (Chennai),8000,85,F02020,LL 2 Mfi Non-Slip,HPCL,LL,"Desert Dunes Petrochem DMCC (Dubai, UAE)",8000,83
24,03--01--2020,Prime Coatings Pvt Ltd (Panipat),10000,87,861N,GPPS,Taita,GPPS,"Huaxin Polychem Co., Ltd. (Tianjin, China)",10000,84
25,03--01--2020,Matrix Polymers Cables (Mumbai),12000,86,4128N,PP TQ,Luban,PP,Thane Aristo Poly Hub,12000,84
26,03--01--2020,Kaveri Gurugram Petrochem,11000,83,1400MN,PP Moulding (40 Mfi),IOCL,PP,Desi Exim (Panipat),11000,81
27,03--01--2020,Anand Polymers Moulders (Hyderabad),17000,81,SC203TR,GPPS,Supreme,GPPS,Ghaziabad Bharat Polytrade,17000,78
28,03--01--2020,Tapti Footwear Pvt Ltd (Indore),8000,91,3155,PP Lamination,Exxon,PP,"Jumeirah Crest Petrochem DMCC (Dubai, UAE)",8000,88
29,03--01--2020,Navneet Daman Adhesives Pvt Ltd,9000,87,H030TN,PP Thermoforming,Nayara,PP,"Pearl Coast Exim DMCC (Dubai, UAE)",9000,86
30,03--01--2020,Gurugram Neelkanth Trading Co.,12000,86,1200MC,PP Moulding (20 Mfi),IOCL,PP,Anand Poly Hub,12000,83
31,03--01--2020,Surat Dynamic Consumer Products Pvt Ltd,10000,91,J1005,LD Milk Pouch,RIL,LD,"Sandshell Trading DMCC (Dubai, UAE)",10000,88
32,04--01--2020,Nagpur Millennium Textiles Pvt Ltd,6000,87,222NP,PP Moulding (12 Mfi),Borough,PP,"Pearl Coast Polymers LLC (Dubai, UAE)",6000,84
33,04--01--2020,Mahadev Ahmedabad Electronics Pvt Ltd,8000,84,hkr102,PP Raffia,Sabic,PP,"Huanxin Petrochem Corp. (Xiamen, China)",8000,82
34,04--01--2020,Narmada WaterTech Pvt Ltd (Thane),6000,85,T03,PP Raffia,Oriential Energy,PP,Matrix Mumbai Exim,6000,83
35,04--01--2020,Arham Exim,14000,89,2130,LD Heavy Duty,Sasol,LD,Shubham Impex,14000,86
36,04--01--2020,Coimbatore Aristo Adhesives Pvt Ltd,12000,86,LD 955,LD Lamination,Hanwha,LD,Core Impex (Agra),12000,84
37,04--01--2020,Omkar Medical Devices Pvt Ltd (Vapi),13000,91,H110QS,PP TQ,Nayara,PP,Sai Trading Co.,13000,90
38,04--01--2020,Neelkanth Footwear Pvt Ltd (Panipat),9000,83,DF50,HD HM,IOCL,HM,"Pearl Coast Polymers LLC (Dubai, UAE)",9000,82
39,04--01--2020,Galaxy Polymers Medical Devices (Gurugram),7000,92,TR144,HD HM,Marlex / Lotrene,HM,Noida Mahadev Polymart,7000,89
40,04--01--2020,Neelkanth Buildtech Pvt Ltd (Hyderabad),10000,84,4025ZN,LD GP,Sabic,LD,Stellar Polychemicals (Daman),10000,83
41,04--01--2020,Coimbatore Aristo Adhesives Pvt Ltd,6000,87,1060MG,PP Moulding (6 Mfi),IOCL,PP,"Palm Vista Trading DMCC (Dubai, UAE)",6000,86
42,04--01--2020,Nagpur Vindhya Packaging Pvt Ltd,14000,80,5831D,HD Blow Moulding,Basell,HD,Kanpur Kaveri Petrochem,14000,79
43,04--01--2020,Capital Furniture Pvt Ltd (Hyderabad),13000,84,PS330,HIPS,Sabic,HIPS,Radiant Impex,13000,83
44,04--01--2020,Urban Sports Goods Pvt Ltd (Bengaluru),12000,89,SC201LVLT,GPPS,Supreme,GPPS,Galaxy Chemplast (Mysuru),12000,88
45,04--01--2020,Navkar Gurugram Medical Devices Pvt Ltd,14000,89,52518,HD Injection Moulding,Iran,HD,Sigma Poly Hub (Meerut),14000,87
46,05--01--2020,Krishna Films & Sheets Pvt Ltd (Vapi),6000,82,HC116FB,PP Raffia,Borough,PP,Ganga Chemplast (Surat),6000,81
47,05--01--2020,Anand Polymers Textiles (Pune),8000,85,5410,HD Raffia,Opal,HD,"Pearl Coast Exim DMCC (Dubai, UAE)",8000,83
48,05--01--2020,Triveni Petrochem,9000,84,HTA001,HD Film,Exxon,HD,Matrix Polytrade,9000,83
49,05--01--2020,Haridwar Galaxy Polymart,9000,82,F0218L,LL 2 Mfi Non-Slip,HMEL,LL,Sigma Mysuru Commodities,9000,81
50,05--01--2020,Bengaluru Godavari Automotive Components Pvt Ltd,7000,87,DF50,HD HM,IOCL,HM,Infinity Polychemicals (Pune),7000,85
51,05--01--2020,Aravali Coimbatore Films & Sheets Pvt Ltd,10000,81,F18010,LL 1 Mfi Non-Slip,RIL,LL,Dahej Core Polymers,10000,80
52,05--01--2020,Urban Faridabad Medical Devices Pvt Ltd,12000,86,SH731,HIPS,Supreme,HIPS,Thane Aristo Poly Hub,12000,85
