Product,Grade,Company,Specific Grade
GRPLON30GF,30% Glass Filled Nylon,GRP,Nylon
AGILON35GF,35% Glass Filled Nylon,GRP,Nylon
MI45,ABS,Bhansali Engineering,ABS
121H,ABS,LG,ABS
HD150W,ABS,Lotte,ABS
ABS 920,ABS,Styrenics / Stryolution / BASF,ABS
5000W,ABS,Taita,ABS
5000W,ABS ,Taita,ABS
EVA 2518,EVA 18%,Sipchem,EVA
SC200,GPPS,Supreme,GPPS
SC201LV,GPPS,Supreme,GPPS
SC201LVLT,GPPS,Supreme,GPPS
SC203EL,GPPS,Supreme,GPPS
SC203TR,GPPS,Supreme,GPPS
SC206,GPPS,Supreme,GPPS
1540,GPPS,Tabriz,GPPS
861N,GPPS,Taita,GPPS
5831D,HD Blow Moulding,Basell,HD
B52A003,HD Blow Moulding,Gail,HD
B0155D,HD Blow Moulding,HMEL,HD
BL3,HD Blow Moulding,Iran,HD
TR571,HD Blow Moulding,Lotrene,HD
6400,HD Blow Moulding,Luban,HD
5502BN,HD Blow Moulding,Marlex,HD
B5004 / B6003,HD Blow Moulding,Opal,HD
B6003,HD Blow Moulding,Opal,HD
B55H02,HD Blow Moulding,Opal,HD
B56003,HD Blow Moulding,RIL,HD
52GB003,HD Blow Moulding,RIL,HD
HTA001 ,HD Film,Exxon,HD
E45,HD Film,Gail,HD
F0146D,HD Film,HMEL,HD
FU5100 / M7100,HD Film,Lotte,HD
F46003,HD Film,RIL,HD
5110,HD HM,Aryasasol ,HM
6888,HD HM,Equate,HM
F0050D,HD HM,HMEL,HM
7000F,HD HM,Ilam,HM
DF50,HD HM,IOCL,HM
EX5 ,HD HM,Iran,HM
6095,HD HM,Luban,HM
6097,HD HM,Luban,HM
TR131,HD HM,Marlex ,HM
TR144,HD HM,Marlex / Lotrene,HM
F52H04,HD HM,Opal,HM
F1,HD HM,Qamar,HM
851,HD HM,Sabic,HM
952,HD HM,Sabic,HM
1881,HD HM,Titan,HM
52B18,HD Injection Moulding,BPC,HD
I56a200,HD Injection Moulding,Gail,HD
180M50,HD Injection Moulding,IOCL,HD
52518,HD Injection Moulding,Iran,HD
50MA180 ,HD Injection Moulding,RIL,HD
M60075,HD Injection Moulding,RIL,HD
17450,HD Injection Moulding (18 mfi),Dow,HD
2050S,HD Injection Moulding (20 Mfi),HMEL,HD
M0861S,HD Injection Moulding (8 mfi),HMEL,HD
B55,HD MBM,Gail,HD
0155D,HD MBM,HMEL,HD
6147,HD MBM,Luban,HD
50100,HD MBM,Marlex / Lotrene,HD
F0148D,HD Medium Blow Moulding,HMEL,HD
T9,HD Raffia,Haldia,HD 
R0150S,HD Raffia,HMEL,HD 
5410,HD Raffia,Opal,HD 
E52009,HD Raffia,RIL,HD 
PS330,HIPS,Sabic,HIPS
SH03,HIPS,Supreme,HIPS
SH300,HIPS,Supreme,HIPS
SH450,HIPS,Supreme,HIPS
SH731,HIPS,Supreme,HIPS
2421H,LD 2 Mfi Non-Slip,Basell,LD
6230,LD 2 Mfi Non-Slip,Borough,LD
2420E02,LD 2 Mfi Non-Slip,BPC,LL
J1020FF20,LD 2 Mfi Non-Slip,RIL,LD
J1020FA20,LD 2 Mfi Non-Slip,RIL,LD
2518,LD 2 Mfi Non-Slip,Sabic,LD
2119,LD 2 Mfi Non-Slip,Sasol,LD
2427H,LD 2 Mfi Slip,Basell,LD
6236,LD 2 Mfi Slip,Borough,LD
Lotrene 0270,LD 2 Mfi Slip,Lotrene,LD
2427K,LD GP,Basell,LD
LD 0474,LD GP,Lotrene,LD
LD 040,LD GP,RIL,LD
4023WN,LD GP,Sabic,LD
4024WN,LD GP,Sabic,LD
4024ZN,LD GP,Sabic,LD
4025ZN,LD GP,Sabic,LD
2047A,LD GP,Sasol,LD
4025AS,LD GP,Tasnee,LD
2221D,LD Heavy Duty,Basell,LD
5230,LD Heavy Duty,Borough,LD
FB3003,LD Heavy Duty,Lotrene,LD
FE3000,LD Heavy Duty,Lotrene,LD
LD002,LD Heavy Duty,RIL,LD
2103,LD Heavy Duty,Sasol,LD
2130,LD Heavy Duty,Sasol,LD
0725n,LD Heavy Duty,Tasnee,LD
C7100,LD Lamination,APC,LD
204000,LD Lamination,Basell,LD
EC7000,LD Lamination,Dow,LD
LD 955,LD Lamination,Hanwha,LD
LB7000,LD Lamination,LG,LD
Lotrene 0710,LD Lamination,Lotrene,LD
1070LA17 ,LD Lamination,RIL,LD
7019EC,LD Lamination,Sabic,LD
2103,LD Lamination,Sasol,LD
1969,LD Lamination,Sasol,LD
L705,LD Lamination,Sumitomo,LD
801YY,LD Lamination,Titan,LD
LDU7915,LD Lamination,Tricolene,LD
LDU8918,LD Lamination,Tricolene,LD
GX20,LD Lamination Plain Bag,Sabic,LD
2427F,LD Milk Pouch,Basell,LD
LD 5026,LD Milk Pouch,Lotrene,LD
J1005,LD Milk Pouch,RIL,LD
16MA400,LD Moulding,RIL,LD
,LL 1 Mfi Non-Slip,Gail,LL
F0118L,LL 1 Mfi Non-Slip,HMEL,LL
0209AA,LL 1 Mfi Non-Slip,Iran,LL
Q1018N,LL 1 Mfi Non-Slip,Lotrene,LL
7047,LL 1 Mfi Non-Slip,Luban,LL
F2001A,LL 1 Mfi Non-Slip,Opal,LL
F18010,LL 1 Mfi Non-Slip,RIL,LL
JF18010,LL 1 Mfi Non-Slip,RIL,LL
118NJ,LL 1 Mfi Non-Slip,Sabic,LL
118NM,LL 1 Mfi Non-Slip,Sabic,LL
1810T,LL 1 Mfi Slip,Basell,LL
223,LL 1 Mfi Slip,Basell,LL
7087,LL 1 Mfi Slip,Equate,LL
F20S,LL 1 Mfi Slip,Gail,LL
F18S,LL 1 Mfi Slip,Gail,LL
F0120L,LL 1 Mfi Slip,HMEL,LL
F01019S,LL 1 Mfi Slip,HPCL,LL
Q1018H,LL 1 Mfi Slip,Lotrene,LL
7080,LL 1 Mfi Slip,Luban,LL
010F18S,LL 1 Mfi Slip,Opal,LL
F2001S,LL 1 Mfi Slip,Opal,LL
FC21HS,LL 1 Mfi Slip,Qamar ,LL
Ravago LL 1 Mfi slip,LL 1 Mfi Slip,Ravago,LL
F19010,LL 1 Mfi Slip,RIL,LL
JF19010,LL 1 Mfi Slip,RIL,LL
119ZJ,LL 1 Mfi Slip,Sabic,LL
118WJ,LL 1 Mfi Slip,Sabic,LL
118WM,LL 1 Mfi Slip,Sabic Malaysia,LL
1820,LL 2 Mfi Non-Slip,Basell,LL
F18A020,LL 2 Mfi Non-Slip,Gail,LL
F0218L,LL 2 Mfi Non-Slip,HMEL,LL
F02020,LL 2 Mfi Non-Slip,HPCL,LL
2018N,LL 2 Mfi Non-Slip,Lotrene,LL
7042,LL 2 Mfi Non-Slip,Luban,LL
020F18A,LL 2 Mfi Non-Slip,Opal,LL
18020,LL 2 Mfi Non-Slip,RIL,LL
218NJ,LL 2 Mfi Non-Slip,Sabic,LL
7050,LL 2 Mfi Slip,Luban,LL
FC21HN,LL 2 Mfi Slip,Qamar,LL
1925,LL 2 Mfi Slip,Tasnee,LL
M5026L,LL 50 Mfi,HMEL,LL
E0725L,LL Lamination,HMEL,LL
E24065,LL Lamination,RIL,LL
M26500 ,LL Moulding (50Mfi),RIL,LL
5018L,LL Roto Moulding,HMEL,LL
T3804,LL Roto Moulding,Opal,LL
36RA045,LL Roto Moulding,RIL,LL
1018MK,LLM 1 Mfi Non-Slip,Exxon,LL
1018MA,LLM 1 Mfi Slip,Exxon,LL
K222D,Nylon,Akulon,Nylon
1013NW8,Nylon,UBE,Nylon
1350EG,PP Extrusion (35 Mfi),IOCL,PP
,PP Lamination,AAPC,PP
,PP Lamination,Basell,PP
,PP Lamination,Borough,PP
3155,PP Lamination,Exxon,PP
,PP Lamination,Gail,PP
,PP Lamination,Haldia,PP
Y35GR1 ,PP Lamination,HMEL,PP
,PP Lamination,HPCL,PP
,PP Lamination,IOCL,PP
,PP Lamination,Luban,PP
,PP Lamination,Luban,PP
